x1,x2,x3,x4,x5,x6,y
7300.5,0,0,72.1918,2.1279,0.1998,2.5135
7301,0,0,73.1849,2.1415,0.2167,2.4987
7301.5,0,0,71.415,1.9929,0.2241,2.5093
7302,0,0,70.1263,1.8502,0.2194,2.5895
7302.5,0,0,66.2725,1.8368,0.2181,2.6078
7303,0,0,65.5404,1.8156,0.2176,2.5865
7303.5,0,0,65.0569,1.812,0.2162,2.5764
7304,0,0,64.6451,1.8911,0.1991,2.5834
7304.5,0,0,65.2426,2.0549,0.1981,2.5693
7305,0,0,67.4114,1.9936,0.1494,2.7047
7305.5,0,0,70.0555,1.9147,0.1426,2.5869
7306,0,0,72.3413,1.9104,0.1324,2.5485
7306.5,0,0,74.6422,1.9465,0.1615,2.5451
7307,0,0,74.1273,2.0317,0.1723,2.5588
7307.5,0,0,73.9853,2.1612,0.2105,2.5172
7308,0,0,74.2471,2.2205,0.2476,2.4848
7308.5,0,0,74.8699,2.1019,0.2742,2.5297
7309,0,0,74.0862,2.0558,0.2605,2.5286
7309.5,0,0,73.9118,2.0025,0.2159,2.5535
7310,0,0,73.5205,2.1191,0.206,2.486
7310.5,0,0,71.9202,2.1967,0.2001,2.4985
7311,0,0,70.3645,2.1758,0.2215,2.5011
7311.5,0,0,68.3062,2.1249,0.2347,2.4755
7312,0,0,66.8816,2.1613,0.2405,2.5865
7312.5,0,0,66.284,2.1846,0.2065,2.5866
7313,0,0,66.8526,2.1892,0.181,2.6093
7313.5,0,0,68.8914,2.3121,0.1622,2.5923
7314,0,0,71.5329,2.2598,0.1523,2.6115
7314.5,0,0,71.7662,2.2196,0.1624,2.6144
7315,0,0,71.9446,2.2527,0.1844,2.6059
7315.5,0,0,70.5016,2.2356,0.2152,2.6227
7316,0,0,68.1167,2.138,0.2208,2.6244
7316.5,0,0,65.8916,2.1287,0.2328,2.5816
7317,0,0,65.1953,2.1246,0.2389,2.5664
7317.5,0,0,62.7049,2.2325,0.2094,2.6128
7318,0,0,59.8207,2.2454,0.1534,2.6545
7318.5,0,0,58.8202,2.2568,0.121,2.6606
7319,0,0,58.713,2.2757,0.0991,2.6652
7319.5,0,0,58.076,2.269,0.0926,2.6661
7320,0,0,59.6359,2.2233,0.0906,2.6782
7320.5,0,0,62.0849,2.2161,0.099,2.698
7321,0,0,64.8649,2.2628,0.0977,2.6798
7321.5,0,0,65.4901,2.2336,0.0973,2.6723
